"package","version"
"R","4.0.5"
"grDevices","4.0.5"
"graphics","4.0.5"
"utils","4.0.5"
"stats","4.0.5"
"methods","4.0.5"
"rlang","0.4.10"
"ellipsis","0.3.1"
"glue","1.4.2"
"cli","2.4.0"
"crayon","1.4.1"
"fansi","0.4.2"
"lifecycle","1.0.0"
"magrittr","2.0.1"
"utf8","1.2.1"
"vctrs","0.3.7"
"fastmap","1.1.0"
"grid","4.0.5"
"pillar","1.6.0"
"pkgconfig","2.0.3"
"purrr","0.3.4"
"base64enc","0.1-3"
"BH","1.75.0-0"
"bit","4.0.4"
"cachem","1.0.4"
"colorspace","2.0-0"
"digest","0.6.27"
"generics","0.1.0"
"lattice","0.20-41"
"R6","2.5.0"
"Rcpp","1.0.6"
"sys","3.4"
"tibble","3.1.0"
"tidyselect","1.1.0"
"tools","4.0.5"
"askpass","1.1"
"assertthat","0.2.1"
"bit64","4.0.5"
"blob","1.2.1"
"cpp11","0.2.7"
"DBI","1.1.1"
"dplyr","1.0.5"
"farver","2.1.0"
"fs","1.5.0"
"htmltools","0.5.1.1"
"labeling","0.4.2"
"later","1.1.0.1"
"Matrix","1.3-2"
"memoise","2.0.0"
"munsell","0.5.0"
"nlme","3.1-152"
"plogr","0.2.0"
"rappdirs","0.3.3"
"RColorBrewer","1.1-2"
"rJava","0.9-13"
"splines","4.0.5"
"stringi","1.5.3"
"triebeard","0.3.0"
"viridisLite","0.4.0"
"withr","2.4.1"
"backports","1.2.1"
"clipr","0.7.1"
"curl","4.3"
"dbplyr","2.1.1"
"gtable","0.3.0"
"hms","1.0.0"
"isoband","0.2.4"
"jquerylib","0.1.3"
"jsonlite","1.7.2"
"MASS","7.3-53.1"
"mgcv","1.8-34"
"mime","0.10"
"openssl","1.4.3"
"promises","1.2.0.1"
"RSQLite","2.2.6"
"sass","0.3.1"
"scales","1.1.1"
"snow","0.4-3"
"SqlRender","1.7.0"
"stringr","1.4.0"
"systemfonts","1.0.1"
"urltools","1.7.3"
"xml2","1.3.2"
"yaml","2.2.1"
"zip","2.1.1"
"Andromeda","0.4.0"
"bslib","0.2.4"
"checkmate","2.0.0"
"commonmark","1.7"
"DatabaseConnector","4.0.0"
"gdtools","0.2.3"
"ggplot2","3.3.3"
"htmlwidgets","1.5.3"
"httpuv","1.5.5"
"httr","1.4.2"
"lazyeval","0.2.2"
"lubridate","1.7.10"
"openxlsx","4.2.3"
"ParallelLogger","2.0.1"
"readr","1.4.0"
"RJSONIO","1.3-1.4"
"sourcetools","0.1.7"
"tidyr","1.1.3"
"uuid","0.1-4"
"xtable","1.8-4"
"compiler","4.0.5"
"crosstalk","1.1.1"
"FeatureExtraction","3.1.0"
"ggiraph","0.7.8"
"ROhdsiWebApi","1.2.0"
"shiny","1.6.0"
"xfun","0.22"
"CohortDiagnostics","2.0.0"
"DT","0.17"
"markdown","1.1"
"OhdsiSharing","0.2.2"
"parallel","4.0.5"
"pool","0.1.6"
"shinydashboard","0.7.1"
"IbdCharacterization","0.1.0"
