targetId,strataId,cohortId,cohortType,name
306,1,306000011,TwS,[KI-IBD] Persons with IBD with at least 365d prior observation with Full 365-day follow up
307,1,307000011,TwS,[KI-IBD] Persons with IBD with no required prior observation with Full 365-day follow up
308,1,308000011,TwS,[KI-IBD] Undetermined IBD (both type-specific codes) with at least 365d prior observation with Full 365-day follow up
309,1,309000011,TwS,[KI-IBD] Undetermined IBD (both type-specific codes) with no required prior observation with Full 365-day follow up
310,1,310000011,TwS,[KI-IBD] Undetermined IBD (no type-specific codes) with at least 365d prior observation with Full 365-day follow up
311,1,311000011,TwS,[KI-IBD] Undetermined IBD (no type-specific codes) with no required prior observation with Full 365-day follow up
314,1,314000011,TwS,[KI-IBD] Persons with Crohn's disease with at least 365d prior observation with Full 365-day follow up
315,1,315000011,TwS,[KI-IBD] Persons with Crohn's disease with no required prior observation with Full 365-day follow up
322,1,322000011,TwS,[KI-IBD] Persons with ulcerative colitis with at least 365d prior observation with Full 365-day follow up
323,1,323000011,TwS,[KI-IBD] Persons with ulcerative colitis with no required prior observation with Full 365-day follow up
306,2,306000021,TwS,[KI-IBD] Persons with IBD with at least 365d prior observation with Full 3-year follow up
307,2,307000021,TwS,[KI-IBD] Persons with IBD with no required prior observation with Full 3-year follow up
308,2,308000021,TwS,[KI-IBD] Undetermined IBD (both type-specific codes) with at least 365d prior observation with Full 3-year follow up
309,2,309000021,TwS,[KI-IBD] Undetermined IBD (both type-specific codes) with no required prior observation with Full 3-year follow up
310,2,310000021,TwS,[KI-IBD] Undetermined IBD (no type-specific codes) with at least 365d prior observation with Full 3-year follow up
311,2,311000021,TwS,[KI-IBD] Undetermined IBD (no type-specific codes) with no required prior observation with Full 3-year follow up
314,2,314000021,TwS,[KI-IBD] Persons with Crohn's disease with at least 365d prior observation with Full 3-year follow up
315,2,315000021,TwS,[KI-IBD] Persons with Crohn's disease with no required prior observation with Full 3-year follow up
322,2,322000021,TwS,[KI-IBD] Persons with ulcerative colitis with at least 365d prior observation with Full 3-year follow up
323,2,323000021,TwS,[KI-IBD] Persons with ulcerative colitis with no required prior observation with Full 3-year follow up
306,3,306000031,TwS,[KI-IBD] Persons with IBD with at least 365d prior observation with Full 5-year follow up
307,3,307000031,TwS,[KI-IBD] Persons with IBD with no required prior observation with Full 5-year follow up
308,3,308000031,TwS,[KI-IBD] Undetermined IBD (both type-specific codes) with at least 365d prior observation with Full 5-year follow up
309,3,309000031,TwS,[KI-IBD] Undetermined IBD (both type-specific codes) with no required prior observation with Full 5-year follow up
310,3,310000031,TwS,[KI-IBD] Undetermined IBD (no type-specific codes) with at least 365d prior observation with Full 5-year follow up
311,3,311000031,TwS,[KI-IBD] Undetermined IBD (no type-specific codes) with no required prior observation with Full 5-year follow up
314,3,314000031,TwS,[KI-IBD] Persons with Crohn's disease with at least 365d prior observation with Full 5-year follow up
315,3,315000031,TwS,[KI-IBD] Persons with Crohn's disease with no required prior observation with Full 5-year follow up
322,3,322000031,TwS,[KI-IBD] Persons with ulcerative colitis with at least 365d prior observation with Full 5-year follow up
323,3,323000031,TwS,[KI-IBD] Persons with ulcerative colitis with no required prior observation with Full 5-year follow up
306,4,306000041,TwS,[KI-IBD] Persons with IBD with at least 365d prior observation with Full 10-year follow up
